left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.43829143,0.5955103,0.3716046,0.32551324,0.47256464,0.48416737,0.46017724,0.39624435,0.48563766,0.43476418,0.43384996,0.5283865,0.36329913,0.32994175,0.37285334,0.60717225,0.33314288,0.2542181,0.5551867,0.5748575
aci,0.5137471,0.13812318,0.42053676,0.33935708,0.77151823,0.46145132,0.23719785,0.3317141,0.58316267,0.15930657,0.41710702,0.4018964,0.43039834,0.29930717,0.6916628,0.5491549,0.46569538,0.5956025,0.25990915,0.33708176
acn,0.43902585,0.5019533,0.6304656,0.5400244,0.5178665,0.4996978,0.42662978,0.53569335,0.39884716,0.53463566,0.27714837,0.55772334,0.44054702,0.49605757,0.35646412,0.4861219,0.43938762,0.41867447,0.26916665,0.39682353
aco,0.8314023,0.5338459,0.23250687,0.33738756,0.1540509,0.20611846,0.3996964,0.4898085,0.414644,0.3271537,0.38621283,0.5171181,0.4133557,0.41926494,0.3001762,0.26240888,0.3578946,0.28246713,0.45296958,0.44657588
acu,0.5062827,0.35643646,0.3425214,0.63310456,0.49050802,0.30961108,0.42909244,0.6199232,0.48274672,0.5798837,0.37934333,0.27278602,0.22127467,0.4867792,0.39899594,0.7193955,0.4702112,0.23761898,0.46593016,0.37578386
acw,0.44325185,0.54204607,0.6214388,0.27200472,0.39488938,0.5594489,0.56905985,0.40759468,0.29997203,0.2612823,0.30723393,0.43263376,0.41917598,0.34285608,0.42263287,0.42575425,0.4809261,0.52085495,0.31884503,0.56129295
adt,0.30389938,0.5342185,0.358321,0.14821996,0.4699867,0.27411583,0.40015236,0.49912882,0.62657267,0.5305165,0.4195515,0.49617097,0.63854843,0.36971724,0.37060928,0.3649183,0.41927248,0.37703586,0.41704094,0.39710182
aei,0.6346662,0.5191412,0.58940506,0.13990517,0.39516622,0.6466023,0.45245898,0.44410837,0.6326587,0.42564434,0.6576108,0.6531867,0.5470569,0.19530678,0.35629725,0.50009704,0.6346929,0.6101029,0.37080094,0.47575456
aej,0.38243338,0.37761274,0.38593447,0.667127,0.56798995,0.47721052,0.46055257,0.5212307,0.53527075,0.5204605,0.38747367,0.46172908,0.5130631,0.62034094,0.47755033,0.48476648,0.54766214,0.54499024,0.48350018,0.61629546
aem,0.46751532,0.73670137,0.61181223,0.5266048,0.52204734,0.34663025,0.5633587,0.5545766,0.3483805,0.35842973,0.33183068,0.30875093,0.6602091,0.37932646,0.32669604,0.3620577,0.18435508,0.35517246,0.3364969,0.37594712
aes,0.68641037,0.5626721,0.7994003,0.29594862,0.69339424,0.32399356,0.48389074,0.42958206,0.76843774,0.7453129,0.5501331,0.6725236,0.5392814,0.28393906,0.42823228,0.5806744,0.50995564,0.7661998,0.6076975,0.45494404
afd,0.4176112,0.47807476,0.3299873,0.4264341,0.27875072,0.49561325,0.4124736,0.35057986,0.54798436,0.28721517,0.536851,0.37809446,0.28070307,0.40928352,0.47439486,0.35301238,0.23620103,0.19157222,0.39133477,0.35008785
afl,0.358661,0.33060053,0.3209476,0.6444391,0.4166962,0.4068403,0.6684437,0.4916809,0.5776778,0.28187367,0.7137155,0.61535716,0.6130417,0.69798595,0.40040392,0.5740813,0.63157386,0.391971,0.47308475,0.59632003
agb,0.5721627,0.56006575,0.30533838,0.36893415,0.6567967,0.35547322,0.46925068,0.50564045,0.2925184,0.32569712,0.33145896,0.31892455,0.4174823,0.42066962,0.42768025,0.5968776,0.22541389,0.2945337,0.36499298,0.46542433
agl,0.3202703,0.5453962,0.18560836,0.4399415,0.34102124,0.19465408,0.5609386,0.4535423,0.41528225,0.24533236,0.12169775,0.3159013,0.13600785,0.2682196,0.37880898,0.55174136,0.56825125,0.17954363,0.24561962,0.28047702
ahg,0.29231942,0.41231447,0.3439132,0.448773,0.3993714,0.3837462,0.4347832,0.3329535,0.28466457,0.50405717,0.34126267,0.14685005,0.49637488,0.158164,0.40585843,0.35423464,0.44840157,0.51229525,0.45805007,0.30391103
ahr,0.40489978,0.17305443,0.48096955,0.54770136,0.31283712,0.5131808,0.53999925,0.45196164,0.44601166,0.47664544,0.5099392,0.42737776,0.38258952,0.5316931,0.5872028,0.4338325,0.40228668,0.4356764,0.53145325,0.47316158
aik,0.21450499,0.44723818,0.66132843,0.69562006,0.2552896,0.38516974,0.56560063,0.49924278,0.39554292,0.39028,0.3625995,0.42213124,0.528234,0.44734046,0.5346099,0.39879155,0.60199904,0.28551972,0.5576497,0.4815693
aiv,0.34202322,0.44464153,0.65820205,0.38955575,0.16338435,0.1919265,0.34037712,0.19710517,0.21333405,0.35602656,0.47494906,0.43793765,0.51951003,0.24141107,0.49514794,0.30167836,0.39618006,0.5045177,0.21451852,0.2575705
ajf,0.43366408,0.57384443,0.30732012,0.53249496,0.6187753,0.481518,0.61864924,0.59398615,0.3976992,0.56860065,0.31721854,0.5557705,0.23750071,0.3686363,0.22282928,0.42866528,0.12928696,0.5767337,0.52428746,0.45900276
ajk,0.49452004,0.22416502,0.49426642,0.58706385,0.4808649,0.32990128,0.30421162,0.53585523,0.5502031,0.51825756,0.4304135,0.36073723,0.42144188,0.4622313,0.37141848,0.58024085,0.443741,0.42716366,0.38089854,0.5322223
aka,0.462809,0.7702732,0.63497615,0.3104812,0.6381483,0.31253546,0.25688943,0.58970666,0.46141797,0.74063337,0.6639781,0.36837882,0.4545771,0.38318205,0.3305897,0.2863739,0.44184163,0.42738697,0.43185824,0.49770477
